bot_hp,enemy_hp,distance,bot_x,enemy_x,bot_cooldown,enemy_last_action,time_left,action
19.0,58.0,0.08,6.36,6.28,0,idle,93.3,move_left
40.0,67.0,0.27,6.27,6.0,0,jump,91.2,kick
100.0,100.0,5.61,3.37,8.97,0,idle,97.5,move_right
64.0,85.0,1.04,7.51,8.54,2,kick,93.4,block
100.0,100.0,2.49,5.1,7.59,0,move_left,98.7,move_right
1.0,49.0,0.72,8.15,8.87,4,punch,94.2,jump
73.0,76.0,1.46,3.55,5.01,0,jump,96.6,kick
52.0,61.0,1.23,5.82,7.05,0,idle,94.0,punch
10.0,40.0,1.6,7.22,8.81,1,jump,92.3,idle
100.0,100.0,6.62,2.38,9.0,0,jump,98.4,move_right
94.0,91.0,1.09,6.14,7.24,1,punch,96.8,block
64.0,67.0,1.55,8.15,9.7,3,idle,95.5,idle
100.0,100.0,2.35,6.75,9.1,0,kick,97.9,move_right
73.0,85.0,1.22,7.01,8.23,0,kick,95.7,block
64.0,40.0,0.22,5.12,4.9,3,punch,95.6,block
4.0,61.0,0.5,9.5,10.0,0,special,91.0,block
73.0,85.0,1.57,7.93,9.51,1,kick,96.7,idle
34.0,40.0,1.19,4.29,5.48,1,move_left,93.8,move_right
100.0,94.0,1.42,6.02,7.44,1,idle,94.3,idle
79.0,67.0,0.49,7.71,8.2,0,jump,93.2,kick
10.0,4.0,1.68,7.34,9.02,2,move_right,89.4,idle
40.0,76.0,0.72,7.18,7.9,3,kick,92.4,block
82.0,85.0,1.25,8.15,9.4,3,kick,96.6,idle
64.0,82.0,1.02,6.59,7.61,0,punch,96.0,jump
100.0,100.0,3.16,6.08,9.23,0,punch,97.8,jump
100.0,100.0,5.7,1.9,7.6,0,kick,98.8,move_right
85.0,82.0,1.65,7.58,9.23,3,move_right,95.3,idle
94.0,88.0,1.02,6.6,7.62,0,idle,97.0,punch
34.0,58.0,1.61,8.06,9.68,1,move_left,90.1,idle
22.0,79.0,0.02,7.78,7.8,0,punch,89.2,block
19.0,40.0,0.25,5.87,6.12,3,jump,87.4,idle
40.0,55.0,0.33,4.65,4.98,0,kick,93.4,block
19.0,70.0,0.2,6.89,6.69,0,punch,90.2,block
100.0,100.0,1.88,4.41,6.29,2,move_right,96.7,idle
76.0,79.0,0.87,7.18,8.05,5,move_left,94.4,idle
73.0,70.0,1.2,4.04,5.24,3,jump,94.7,idle
100.0,100.0,4.64,3.61,8.24,0,punch,97.0,move_right
70.0,94.0,1.06,4.87,5.93,2,punch,98.2,block
31.0,55.0,0.99,8.27,9.27,5,move_left,94.4,idle
100.0,100.0,1.62,4.01,5.64,0,block,97.1,move_right
61.0,82.0,0.68,5.97,6.64,1,kick,93.6,block
85.0,64.0,0.92,5.99,6.9,0,idle,92.7,kick
85.0,79.0,1.64,5.23,6.87,0,kick,95.2,move_right
100.0,100.0,8.07,1.14,9.21,0,move_right,98.4,move_right
31.0,73.0,0.58,5.81,6.4,3,kick,94.0,block
37.0,67.0,1.25,8.45,9.7,0,kick,94.6,block
91.0,94.0,1.04,8.66,9.7,1,move_left,93.8,idle
100.0,100.0,3.56,3.53,7.09,0,idle,99.0,move_right
28.0,49.0,1.77,8.47,6.7,1,move_left,90.0,idle
76.0,88.0,1.36,6.42,7.78,2,block,95.6,idle
34.0,55.0,1.65,3.57,1.92,0,move_left,93.8,move_left
31.0,43.0,1.33,6.8,8.13,0,punch,93.7,jump
100.0,100.0,3.03,4.17,7.2,0,block,98.0,block
4.0,55.0,0.2,9.6,9.4,0,punch,89.7,block
82.0,100.0,1.92,6.7,8.62,0,jump,95.8,move_right
100.0,100.0,2.79,5.91,8.7,0,move_right,98.1,move_right
76.0,100.0,1.58,6.27,7.84,6,special,95.0,idle
70.0,76.0,1.36,7.6,8.96,2,move_left,94.2,idle
22.0,58.0,0.14,9.56,9.7,0,move_right,88.8,move_right
100.0,100.0,2.71,5.64,8.35,0,move_left,98.4,move_right
67.0,7.0,0.38,8.42,8.8,6,jump,91.1,idle
100.0,100.0,2.98,6.1,9.08,0,idle,96.8,move_right
85.0,64.0,0.08,5.12,5.2,3,move_right,96.9,idle
100.0,100.0,5.14,4.5,9.63,0,move_left,97.5,move_right
100.0,100.0,2.82,4.58,7.4,0,kick,98.7,jump
85.0,85.0,0.31,5.55,5.86,2,move_left,94.6,idle
64.0,67.0,0.66,6.9,6.24,3,kick,92.9,block
100.0,100.0,1.96,6.41,8.37,1,jump,95.3,idle
94.0,82.0,1.48,7.6,9.07,6,punch,97.5,kick
100.0,100.0,1.62,7.29,8.91,0,jump,95.4,move_right
100.0,100.0,2.07,5.98,8.05,0,move_left,97.9,move_right
25.0,82.0,0.08,8.52,8.45,0,jump,91.9,move_left
25.0,55.0,1.69,5.14,6.84,0,move_right,93.9,move_right
40.0,64.0,0.07,6.43,6.36,2,move_left,94.4,idle
22.0,73.0,0.14,7.81,7.94,0,move_right,90.5,move_right
13.0,22.0,0.54,7.31,7.84,0,idle,91.4,kick
100.0,100.0,6.52,1.92,8.45,0,kick,98.5,move_right
52.0,55.0,1.57,8.43,10.0,6,move_right,93.8,idle
61.0,79.0,0.27,6.27,6.0,0,move_left,92.3,punch
4.0,67.0,0.26,4.86,5.12,0,move_right,90.3,move_right
100.0,100.0,2.47,6.05,8.52,0,punch,97.6,move_right
91.0,49.0,0.64,4.43,5.07,6,idle,95.7,idle
70.0,49.0,2.02,7.14,9.16,0,jump,91.9,move_right
64.0,82.0,0.58,3.68,4.26,0,kick,95.8,block
52.0,64.0,1.03,7.07,8.11,2,move_right,92.7,idle
91.0,82.0,1.82,5.69,7.5,0,move_right,95.1,move_right
16.0,58.0,0.0,9.4,9.4,0,punch,88.4,jump
19.0,73.0,0.42,5.32,5.74,0,idle,94.4,move_right
76.0,88.0,1.36,6.42,7.78,0,move_left,95.4,punch
46.0,79.0,0.42,5.32,5.74,1,punch,95.5,block
31.0,64.0,1.57,5.41,6.98,2,special,93.6,idle
55.0,76.0,1.48,8.19,9.67,0,move_right,91.0,idle
37.0,46.0,1.35,7.81,9.16,0,idle,92.1,punch
37.0,37.0,0.83,7.66,8.49,0,punch,91.6,special
52.0,55.0,1.26,5.8,7.06,0,punch,90.7,block
94.0,100.0,1.78,5.59,7.37,0,move_right,97.5,move_right
19.0,73.0,1.26,6.66,7.92,1,special,91.6,idle
67.0,73.0,0.53,7.07,7.6,6,move_right,94.0,idle
10.0,43.0,1.21,8.19,9.4,1,kick,88.1,idle
61.0,73.0,1.26,6.66,7.92,2,idle,92.4,idle
64.0,76.0,0.22,6.58,6.37,1,block,93.7,idle
100.0,100.0,1.87,6.87,8.74,0,move_left,97.5,move_right
37.0,19.0,1.42,7.44,8.86,3,punch,89.7,idle
94.0,94.0,1.35,6.31,7.66,0,kick,97.6,block
28.0,73.0,0.49,8.26,8.74,0,move_right,93.3,move_right
25.0,61.0,0.56,4.27,4.83,2,idle,94.2,idle
49.0,40.0,1.02,6.9,7.92,3,special,93.4,block
7.0,22.0,0.33,6.12,6.45,2,move_right,90.4,idle
100.0,100.0,2.78,3.91,6.69,0,idle,98.3,move_right
100.0,100.0,8.29,1.71,10.0,0,punch,98.5,move_right
7.0,58.0,0.53,6.73,7.26,0,punch,92.6,block
100.0,100.0,3.77,2.14,5.91,0,kick,98.1,move_right
58.0,43.0,1.61,3.45,5.06,1,move_right,93.4,idle
52.0,55.0,1.23,5.82,7.05,1,idle,93.7,punch
67.0,58.0,0.14,7.67,7.81,2,punch,94.9,block
100.0,100.0,3.62,2.27,5.89,0,kick,97.6,move_right
10.0,25.0,0.37,8.43,8.8,0,move_left,87.4,kick
40.0,55.0,1.26,5.91,7.17,0,punch,94.1,block
4.0,52.0,0.08,6.97,7.05,0,idle,91.4,move_right
100.0,100.0,2.56,5.51,8.07,0,punch,96.0,jump
82.0,76.0,1.07,7.02,8.1,0,idle,95.2,kick
82.0,85.0,1.36,4.78,6.14,0,move_right,95.1,punch
25.0,52.0,1.07,8.53,9.6,0,kick,90.9,block
37.0,7.0,1.36,4.42,5.77,0,idle,92.1,special
79.0,76.0,0.84,5.81,6.66,3,special,93.5,block
43.0,61.0,0.42,4.98,5.4,0,kick,94.1,block
10.0,25.0,1.27,8.43,9.7,2,move_right,89.0,idle
46.0,43.0,1.32,7.6,8.92,3,special,92.4,idle
100.0,94.0,1.82,7.48,9.3,0,move_right,95.9,move_right
49.0,91.0,1.63,7.86,9.49,0,kick,95.8,move_right
82.0,85.0,1.06,4.78,5.84,1,jump,95.3,idle
7.0,73.0,0.26,4.75,4.48,0,move_left,92.7,move_left
67.0,94.0,0.75,7.64,8.39,0,jump,94.5,kick
52.0,73.0,1.64,7.36,9.0,0,move_right,95.8,move_right
100.0,100.0,1.53,7.57,9.1,3,kick,95.6,idle
79.0,58.0,0.61,7.52,8.13,4,jump,95.0,idle
16.0,40.0,0.88,8.52,9.4,1,kick,88.9,block
100.0,100.0,1.73,7.03,8.76,0,idle,97.2,kick
37.0,52.0,1.06,8.51,9.57,3,idle,87.7,idle
73.0,82.0,1.12,6.32,7.44,0,idle,92.9,kick
34.0,67.0,0.87,6.27,5.4,0,move_left,90.8,punch
16.0,55.0,0.09,8.21,8.3,0,punch,90.7,block
19.0,67.0,0.03,4.93,4.96,0,move_right,93.3,move_right
70.0,85.0,0.29,7.76,8.05,0,kick,94.3,block
55.0,88.0,1.36,4.87,6.23,1,move_left,96.4,idle
100.0,100.0,2.42,5.81,8.23,0,move_right,97.0,move_right
100.0,100.0,7.7,1.78,9.48,2,kick,98.0,idle
10.0,40.0,0.56,8.84,9.4,0,punch,92.0,jump
61.0,79.0,1.45,5.87,7.32,0,idle,91.3,punch
13.0,61.0,0.03,9.07,9.1,0,idle,90.4,move_left
70.0,64.0,0.16,4.78,4.94,3,idle,93.2,idle
100.0,100.0,7.7,1.78,9.48,3,kick,98.8,idle
31.0,61.0,0.36,6.9,6.54,1,special,91.9,block
1.0,37.0,0.74,8.66,9.4,0,punch,87.3,block
43.0,49.0,0.47,4.94,5.4,1,punch,95.1,block
100.0,100.0,2.96,4.43,7.39,0,punch,98.1,jump
100.0,100.0,1.96,5.02,6.97,0,jump,96.4,jump
100.0,100.0,4.01,4.79,8.8,0,idle,98.6,jump
28.0,31.0,0.28,4.04,4.32,3,kick,93.6,block
100.0,94.0,1.81,6.43,8.23,0,idle,97.7,jump
61.0,76.0,1.48,8.19,9.67,3,punch,91.5,idle
100.0,100.0,4.45,3.75,8.2,0,idle,99.0,move_right
100.0,100.0,6.1,3.65,9.74,0,idle,99.0,move_right
100.0,100.0,3.06,3.66,6.72,0,jump,97.3,move_right
10.0,10.0,1.72,5.21,6.94,2,move_right,89.8,idle
43.0,73.0,0.68,5.97,6.64,1,idle,92.9,idle
100.0,100.0,5.71,2.17,7.88,0,move_left,98.8,move_right
43.0,55.0,0.38,4.2,4.58,2,punch,94.3,block
1.0,85.0,0.12,6.08,6.2,0,special,95.8,block
100.0,100.0,3.58,3.19,6.77,0,punch,98.7,move_right
7.0,82.0,0.27,5.34,5.61,0,idle,92.5,move_right
1.0,19.0,0.74,8.51,7.77,0,block,85.1,kick
100.0,100.0,4.05,4.88,8.93,0,special,97.8,move_right
46.0,73.0,1.34,8.56,9.9,6,idle,93.2,idle
43.0,67.0,0.0,6.92,6.92,2,kick,93.6,block
82.0,73.0,1.48,4.04,5.52,0,move_right,96.4,kick
61.0,58.0,1.74,3.7,5.44,1,move_left,95.0,idle
46.0,82.0,1.99,4.54,6.54,0,kick,96.4,move_right
91.0,76.0,1.72,4.61,6.34,3,move_right,98.6,idle
70.0,67.0,1.53,5.82,7.35,3,kick,95.2,idle
100.0,100.0,4.45,3.4,7.85,0,idle,97.3,move_right
100.0,100.0,3.72,4.7,8.42,0,punch,98.0,jump
100.0,100.0,2.66,4.87,7.54,0,punch,98.3,move_right
13.0,34.0,0.39,6.6,6.99,6,kick,93.8,block
100.0,88.0,1.09,6.28,7.37,3,jump,97.1,block
100.0,100.0,2.68,5.72,8.39,0,idle,98.1,move_right
100.0,100.0,4.51,5.12,9.63,0,punch,98.4,move_right
10.0,88.0,0.08,5.31,5.39,0,special,93.8,block
94.0,85.0,1.47,5.27,6.74,3,jump,96.0,idle
91.0,76.0,1.51,6.55,8.06,0,kick,91.8,special
100.0,100.0,1.21,6.79,8.0,0,move_left,97.7,special
100.0,100.0,3.67,5.37,9.04,0,punch,98.3,move_right
55.0,67.0,1.16,7.97,9.13,0,special,92.8,jump
88.0,88.0,1.46,7.94,9.4,0,jump,93.7,move_right
94.0,100.0,0.83,7.03,7.86,0,idle,96.0,kick
25.0,31.0,1.39,8.61,10.0,0,special,90.1,block
4.0,67.0,0.27,5.62,5.35,0,kick,95.6,block
64.0,73.0,0.18,4.91,4.74,0,move_left,93.7,kick
100.0,100.0,6.82,1.22,8.04,0,punch,98.7,move_right
46.0,82.0,1.39,4.54,5.94,0,punch,96.9,block
37.0,52.0,0.74,8.66,9.4,2,idle,90.7,idle
100.0,100.0,1.36,5.05,6.41,4,move_right,96.5,idle
94.0,73.0,1.57,5.11,6.68,0,idle,95.4,kick
100.0,94.0,1.75,4.87,6.62,0,special,98.6,jump
49.0,82.0,0.42,5.61,6.03,1,idle,96.3,idle
94.0,91.0,1.69,7.66,9.34,1,move_right,96.1,idle
10.0,40.0,0.42,8.32,7.9,3,kick,90.0,block
61.0,91.0,0.45,5.97,6.42,0,punch,92.5,block
22.0,64.0,0.79,4.22,5.01,2,move_right,94.0,idle
31.0,46.0,1.03,7.07,8.11,0,idle,91.4,jump
100.0,100.0,3.09,4.01,7.1,0,punch,97.8,move_right
100.0,100.0,3.03,3.95,6.98,0,move_left,98.4,move_right
76.0,76.0,1.36,7.6,8.96,5,jump,94.5,idle
100.0,100.0,7.26,1.9,9.15,0,idle,98.5,move_right
100.0,100.0,3.42,4.19,7.61,0,special,97.9,move_right
40.0,55.0,1.14,6.11,7.26,0,kick,90.1,block
100.0,100.0,3.04,6.3,9.33,0,move_left,96.8,jump
4.0,73.0,0.28,6.11,6.4,0,block,92.5,move_right
100.0,100.0,1.89,8.04,9.93,0,kick,97.0,move_right
16.0,19.0,1.28,7.49,8.77,0,punch,89.6,block
79.0,85.0,1.59,6.41,8.0,2,kick,95.7,idle
16.0,16.0,1.19,5.19,6.38,5,special,92.7,block
100.0,100.0,1.44,6.0,7.44,0,jump,97.8,punch
52.0,46.0,1.2,6.34,7.54,2,idle,92.3,idle
94.0,46.0,1.57,8.13,9.7,1,idle,92.7,idle
85.0,82.0,1.65,7.58,9.23,2,kick,95.2,idle
100.0,100.0,2.86,6.24,9.1,0,kick,95.3,move_right
16.0,73.0,0.04,5.05,5.08,0,move_right,93.4,move_right
40.0,22.0,0.1,8.6,8.5,0,jump,89.7,punch
100.0,82.0,1.88,5.11,6.99,2,kick,96.9,idle
73.0,16.0,0.01,5.55,5.56,0,move_left,90.1,punch
46.0,64.0,1.26,5.91,7.17,0,kick,94.7,block
85.0,82.0,1.5,5.71,7.2,3,jump,94.6,idle
1.0,64.0,0.57,7.67,8.24,0,move_right,89.1,move_right
100.0,100.0,3.34,5.79,9.13,0,jump,96.3,move_right
100.0,100.0,4.72,3.42,8.15,0,punch,98.0,jump
82.0,94.0,1.02,8.19,9.21,0,special,93.0,jump
10.0,43.0,1.32,4.98,6.3,0,kick,92.0,block
82.0,91.0,0.42,5.49,5.91,3,kick,96.2,block
43.0,52.0,1.63,6.5,8.13,1,kick,94.6,idle
43.0,76.0,1.51,7.93,9.43,0,move_right,94.2,special
100.0,100.0,2.47,7.33,9.81,0,punch,97.6,move_right
28.0,58.0,1.28,6.01,7.29,0,kick,91.7,block
100.0,100.0,2.98,4.99,7.97,0,move_right,98.4,move_right
25.0,70.0,0.19,8.57,8.77,0,idle,94.1,move_right
91.0,76.0,2.11,5.95,8.06,0,move_right,92.0,move_right
100.0,100.0,3.88,2.21,6.1,0,move_left,98.7,move_right
34.0,37.0,0.3,6.91,7.2,1,idle,90.3,idle
100.0,100.0,3.26,1.56,4.82,0,punch,98.4,move_right
100.0,100.0,4.32,5.08,9.4,0,idle,96.6,move_right
79.0,79.0,1.29,6.41,7.7,0,punch,95.0,jump
34.0,82.0,0.74,8.36,9.1,1,special,93.5,block
43.0,46.0,0.06,7.01,6.94,1,kick,93.7,block
100.0,100.0,2.72,6.28,9.0,0,idle,96.9,move_right
100.0,91.0,0.82,7.32,8.15,0,punch,95.3,jump
100.0,100.0,1.66,7.31,8.97,0,move_right,94.5,move_right
22.0,73.0,0.16,8.11,7.94,0,jump,90.4,move_left
22.0,52.0,0.29,6.86,7.15,0,idle,90.6,move_right
28.0,43.0,0.19,5.82,6.01,0,punch,92.1,jump
16.0,55.0,1.25,8.45,9.7,0,punch,93.3,block
58.0,43.0,0.43,5.98,6.41,3,punch,93.6,block
31.0,76.0,1.08,6.58,7.66,0,jump,93.1,jump
100.0,100.0,3.22,4.22,7.44,0,punch,97.4,move_right
64.0,94.0,0.98,7.08,8.05,0,special,97.4,jump
100.0,100.0,3.32,2.57,5.89,0,punch,97.5,move_right
100.0,91.0,1.59,7.07,8.67,1,move_right,97.4,idle
100.0,100.0,2.49,4.9,7.39,1,special,97.0,idle
25.0,94.0,0.55,6.73,7.28,0,move_right,92.8,move_right
100.0,100.0,4.92,1.6,6.52,0,idle,99.0,move_right
100.0,100.0,2.49,4.9,7.39,2,punch,97.1,idle
10.0,28.0,1.08,7.34,8.42,1,punch,91.0,block
49.0,43.0,1.61,3.75,5.36,1,punch,92.4,idle
100.0,100.0,0.76,7.44,8.2,0,move_left,94.8,kick
70.0,76.0,1.36,7.6,8.96,1,kick,94.1,idle
100.0,100.0,2.42,5.51,7.93,0,kick,97.3,move_right
28.0,73.0,0.79,7.96,8.74,0,idle,93.7,move_right
100.0,100.0,1.64,8.06,9.7,0,punch,97.0,jump
100.0,100.0,2.7,7.3,10.0,0,move_right,96.4,move_right
73.0,67.0,0.76,3.86,4.62,6,move_left,97.4,idle
100.0,100.0,3.02,6.23,9.25,0,special,98.1,move_right
70.0,91.0,0.95,5.75,6.7,0,move_left,95.6,kick
100.0,100.0,6.42,2.5,8.92,0,idle,99.0,move_right
100.0,100.0,2.99,2.19,5.18,0,punch,98.9,move_right
100.0,100.0,3.62,5.63,9.25,0,idle,98.3,move_right
67.0,52.0,1.42,7.22,8.64,2,idle,91.8,idle
31.0,67.0,0.93,5.37,6.3,0,block,93.8,punch
13.0,13.0,1.94,4.48,2.54,2,move_left,88.1,idle
100.0,100.0,1.81,4.79,6.6,0,move_left,97.2,jump
100.0,100.0,7.7,1.31,9.01,0,idle,99.0,move_right
82.0,85.0,1.02,8.19,9.21,1,idle,92.6,idle
100.0,100.0,3.92,4.14,8.06,2,move_right,95.8,idle
52.0,67.0,0.86,5.93,6.79,2,punch,94.0,block
85.0,79.0,0.59,5.55,4.96,0,punch,93.5,block
100.0,100.0,3.68,2.71,6.39,0,jump,98.8,move_right
100.0,100.0,2.48,6.18,8.65,0,punch,98.3,move_right
7.0,52.0,1.15,7.65,8.8,0,punch,93.3,block
58.0,61.0,0.09,6.7,6.79,1,block,91.2,idle
22.0,64.0,0.06,9.46,9.4,0,move_left,90.9,move_left
64.0,82.0,1.03,5.65,6.68,0,jump,95.7,punch
28.0,25.0,1.59,5.55,7.14,2,idle,90.3,idle
58.0,64.0,0.1,6.8,6.9,3,move_left,94.8,idle
46.0,28.0,1.33,8.03,9.36,3,kick,91.2,idle
100.0,100.0,4.12,4.22,8.34,0,special,98.0,move_right
25.0,52.0,0.1,10.0,9.9,0,jump,90.0,move_left
88.0,94.0,2.35,3.47,5.82,3,move_right,96.1,idle
85.0,85.0,1.56,7.12,8.68,3,idle,95.1,idle
94.0,82.0,1.09,7.71,8.8,3,jump,94.7,idle
100.0,100.0,2.07,5.7,7.77,0,idle,98.1,jump
31.0,55.0,1.14,6.11,7.26,0,punch,89.8,block
25.0,64.0,1.57,7.17,8.74,0,punch,93.9,move_right
28.0,67.0,0.33,4.93,5.26,0,special,94.9,block
82.0,100.0,1.35,7.64,8.99,5,jump,95.6,idle
100.0,100.0,5.84,0.99,6.82,0,idle,99.0,move_right
100.0,100.0,4.87,5.13,10.0,0,kick,97.7,move_right
73.0,67.0,0.76,3.86,4.62,2,punch,96.2,block
100.0,100.0,1.92,6.3,8.22,0,kick,97.7,move_right
100.0,88.0,0.15,4.17,4.32,0,idle,97.3,block
43.0,31.0,1.55,4.53,6.08,3,punch,93.6,idle
64.0,55.0,0.28,7.09,7.37,2,block,94.1,idle
19.0,31.0,1.26,5.91,7.17,2,kick,91.5,idle
55.0,82.0,0.8,4.62,5.42,3,kick,96.2,block
4.0,55.0,0.01,5.07,5.06,0,special,92.6,block
52.0,7.0,1.25,8.45,9.7,1,jump,91.3,idle
7.0,37.0,0.03,6.12,6.15,0,special,91.1,jump
28.0,61.0,0.14,6.97,6.83,0,block,92.3,move_left
100.0,100.0,2.61,3.05,5.65,0,move_left,97.5,move_right
79.0,91.0,0.72,8.15,8.87,1,kick,97.1,block
100.0,100.0,1.49,8.51,10.0,0,punch,95.5,block
31.0,58.0,1.64,5.79,7.42,0,move_right,93.2,move_right
43.0,67.0,1.06,6.42,7.48,0,idle,93.0,jump
58.0,73.0,0.36,5.81,6.16,0,special,94.7,jump
76.0,88.0,1.56,5.32,6.88,0,kick,95.9,kick
43.0,73.0,1.4,4.62,6.02,1,punch,95.4,idle
16.0,76.0,1.32,7.18,8.5,0,special,91.7,block
100.0,100.0,5.86,3.4,9.26,0,special,98.0,jump
37.0,43.0,1.51,7.99,9.5,0,block,91.9,kick
55.0,70.0,0.3,8.5,8.8,0,move_left,92.8,punch
76.0,67.0,0.76,8.34,9.1,3,move_left,94.2,idle
10.0,28.0,0.43,4.94,4.5,0,punch,92.0,block
22.0,55.0,0.0,4.94,4.94,0,move_right,89.8,move_right
22.0,85.0,0.27,6.05,5.78,0,move_left,92.9,move_left
10.0,73.0,0.09,5.31,5.4,0,kick,91.0,idle
100.0,82.0,1.56,5.81,7.36,2,kick,96.7,idle
76.0,73.0,0.91,6.79,7.7,1,move_right,96.1,idle
16.0,46.0,0.91,9.09,10.0,3,punch,89.1,block
94.0,88.0,1.3,6.04,7.33,1,idle,95.5,idle
94.0,70.0,1.25,4.53,5.78,1,punch,96.0,idle
37.0,34.0,0.13,5.68,5.81,0,idle,92.3,punch
49.0,46.0,0.53,5.2,5.74,3,move_left,94.4,idle
100.0,94.0,1.72,5.72,7.44,1,jump,94.9,idle
100.0,100.0,3.16,3.82,6.97,0,jump,97.3,move_right
100.0,100.0,5.52,3.17,8.69,0,move_left,98.6,move_right
70.0,82.0,1.36,6.42,7.78,0,punch,94.8,block
31.0,85.0,0.04,8.28,8.32,2,move_right,93.6,idle
76.0,64.0,0.75,8.65,9.4,1,idle,93.0,idle
25.0,94.0,0.55,6.13,6.68,0,idle,93.2,move_right
34.0,73.0,0.61,6.54,7.15,2,kick,93.7,block
40.0,61.0,0.45,7.64,7.19,2,punch,91.6,block
64.0,55.0,0.68,4.2,4.88,1,move_left,94.9,idle
34.0,76.0,1.27,7.25,8.52,1,block,93.8,idle
100.0,100.0,2.82,5.57,8.39,0,punch,97.6,jump
100.0,100.0,2.42,6.58,9.0,0,idle,96.8,jump
37.0,34.0,0.99,6.48,7.46,1,jump,90.6,idle
58.0,82.0,0.01,4.77,4.76,0,move_left,95.2,special
70.0,82.0,1.31,7.49,8.8,2,idle,95.3,idle
34.0,13.0,1.34,4.78,3.44,5,block,89.4,idle
100.0,100.0,7.08,2.44,9.52,0,block,98.7,move_right
13.0,94.0,0.16,4.75,4.91,0,punch,94.0,jump
100.0,100.0,2.54,7.46,10.0,0,move_right,95.5,jump
94.0,94.0,0.89,4.77,5.66,2,move_right,98.7,idle
79.0,85.0,1.45,7.35,8.8,1,move_right,96.0,idle
100.0,100.0,2.3,6.15,8.45,0,move_right,97.1,jump
70.0,73.0,1.19,4.29,5.48,1,punch,95.9,block
100.0,100.0,2.87,5.82,8.7,0,block,97.4,move_right
94.0,85.0,1.34,5.23,6.57,0,kick,95.9,block
100.0,100.0,3.15,5.24,8.39,2,move_left,97.7,idle
34.0,61.0,1.0,7.6,8.6,0,punch,91.6,block
55.0,64.0,0.98,6.59,7.57,3,jump,93.9,idle
55.0,70.0,0.92,7.73,8.65,3,jump,93.3,idle
1.0,28.0,1.4,7.81,9.21,1,kick,87.4,idle
100.0,82.0,1.15,6.01,7.16,6,move_left,97.1,idle
79.0,91.0,0.42,6.77,7.19,0,idle,95.7,kick
64.0,52.0,0.98,7.05,8.03,0,idle,93.8,punch
10.0,61.0,0.18,7.84,8.02,0,punch,91.9,block
7.0,31.0,0.43,7.07,7.51,0,move_left,89.7,block
100.0,100.0,4.52,3.54,8.06,0,punch,96.6,move_right
55.0,76.0,0.53,7.03,7.56,2,idle,93.5,idle
22.0,73.0,0.61,6.54,7.15,0,punch,93.4,block
46.0,40.0,0.22,5.12,4.9,2,special,95.5,block
43.0,73.0,0.72,3.94,3.22,0,move_left,96.0,kick
16.0,76.0,0.12,8.98,9.1,0,move_left,90.8,move_right
100.0,100.0,2.36,5.03,7.39,0,punch,97.8,jump
100.0,100.0,2.82,3.18,6.0,0,punch,98.6,move_right
100.0,100.0,2.42,6.24,8.66,0,special,94.6,kick
49.0,58.0,0.77,4.94,5.7,0,block,95.5,block
34.0,76.0,1.31,4.09,5.4,3,punch,97.0,idle
1.0,58.0,0.15,8.95,8.8,0,special,89.6,block
100.0,100.0,2.15,4.25,6.4,0,special,97.5,jump
100.0,100.0,4.37,1.54,5.91,0,idle,98.4,move_right
